stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
2ub_37_10_17july,2UB,37,r,17,2,July,2018,10,9,0,0,0,0,9/20/2018,AR,
4ub_38_1_17july,4UB,38,l,17,2,July,2018,1,1,2,0,0,0,9/20/2018,AR,
4ub_38_2_17july,4UB,38,l,17,2,July,2018,2,7,0,0,2,0,9/20/2018,AR,
4ub_38_3_17july,4UB,38,l,17,2,July,2018,3,0,0,0,0,0,9/20/2018,AR,resquashed and pollen came loose; all pollen ~1 field of view @ 20x was originally on stigma
4ub_38_4_17july,4UB,38,l,17,2,July,2018,4,0,0,0,0,0,9/20/2018,AR,
4ub_38_5_17july,4UB,38,l,17,2,July,2018,5,2,0,0,0,0,9/20/2018,AR,
4ub_38_6_17july,4UB,38,l,17,2,July,2018,6,0,0,0,0,0,9/20/2018,AR,
5b_181_1_17july,5B,181,l,17,2,July,2018,1,6,7,0,0,0,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
5b_181_2_17july,5B,181,l,17,2,July,2018,2,7,3,0,0,0,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
5b_181_3_17july,5B,181,l,17,2,July,2018,3,8,14,0,0,0,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
5b_181_4_17july,5B,181,l,17,2,July,2018,4,13,4,0,1,0,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
5b_181_5_17july,5B,181,l,17,2,July,2018,5,10,8,0,0,1,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
